Street;Number
A C MURIEGA V DE BRUNETTI;245
PAMPA ALTA;2181
ARISTIZABAL;1224
CALLE S N;962
DR FERNANDEZ;2156
PAMPA ALTA;1446
ANTONIO MACHADO;2763
VAPOR LOIRE;2329
YUGOSLAVIA;1257
FITZ ROY;1831
EL CALAFATE;1682
MINERALES;2266
MARIANO MORENO;1419
CRUZ DEL SUR;2257
CRUZ DEL SUR;2721
BARTOLOME PEREZ;2952
MARTIN FIERRO;2745
CACHO VASQUEZ;2383
BATALLA DE PUERTO ARGENTINO;679
CACIQUE POCON;938
CACIQUE IBANEZ RUFINO;1441
ANGEL VICENTE PENALOZA;631
BONIFACIO CAMPOS;1043
RIO TURBIO;2549
RIVADAVIA;2870
ALBERTO GINASTERA;1316
ALFONSINA STORNI;2080
AGUSTIN BORGHIALE;2193
MALVINAS;1113
ALBERT SABIN;2383
ALBERTO GRILLO;1734
JARAMILLO;2517
GRL SAN MARTIN;1678
BELLA VISTA;2145
VENEZUELA;1052
SAN JULIAN;1774
DR ANGEL OYOLI;802
CRUZ DEL SUR;115
A RODRIGUEZ;256
ARSENIO TUR;1789
PJE S N;1797
JOSE BACH;413
LOS FERROVIARIOS;2085
DR FERNANDEZ;1190
RAMIRO RAMOS;2106
A GARDINER;2203
PJE RVDO PDRE TARCISIO FANTIN;13
IGR PORTELA;500
COMODORO PY;1094
CALLE S N;2116
FITZ ROY;2574
19 DE DICIEMBRE;1292
PJE AMELUNG;1968
BAHIA LAURA;2214
BENITO PEREZ GALDOS;2025
MAIPU;35
FORTIN SAN CARLOS;142
GRL SAN MARTIN;2993
ANTONIO BALADO;886
PJE S N;2729
PESCADORES;1438
SGT CABRAL;795
GDOR PARADELO;2945
RIO TURBIO;1306
2 DE ABRIL;604
DESEADO;2134
ALFEREZ A SANCHEZ;5
A SUREDA;1632
IGR PORTELA;802
COMODORO PY;552
LOS FERROVIARIOS;2303
ANGELA BRUNETTI;2930
MANUEL ESTRADA;1975
ADOLFO BAQUIANO PAREJAS;1459
RIO COLORADO;2771
BONIFACIO CAMPOS;400
MARTIN FIERRO;2772
IGARZABAL;2210
ARTURO W FENTON;1292
LAS HERAS;2604
ACONCAGUA;2002
PJE RVDO PDRE TARCISIO FANTIN;2959
LAGO ARGENTINO;2427
CABILDO;2169
GRL SAN MARTIN;1066
ANGEL CARNOTA;699
GRL SAN MARTIN;132
ALFRED NOBEL;527
PATAGONIA;1882
ANTONIO MANZONI;238
ALFEREZ A SANCHEZ;2202
PREFECTURA NAVAL ARGENTINA;782
IGR BRIANO;2424
SARMIENTO;1223
A FADUL LAVAQUE;128
LOS ANTIGUOS;711
RVDO PADRE JOSE KOLTUN;1821
DR FIORILLO;1539
JULIO ARGENTINO ROCA;1598
SAN JULIAN;2032
BAHIA LAURA;1578
RECONQUISTA;2831
SANTA CRUZ;2946
SAN JULIAN;1804
CACIQUE IBANEZ RUFINO;1544
BENITO PEREZ GALDOS;1259
DR AMERICO TOSELLO;2439
CACIQUE IBANEZ RUFINO;1081
SGT CABRAL;2481
JOSE BACH;710
AFRICA;949
ABUELA PAREDES;2302
CORMORANES;2755
ESPANA;954
17 DE OCTUBRE;1016
FACON GRANDE;2353
PUEYRREDON;2513
ALFEREZ A SANCHEZ;451
RIVADAVIA;2751
PUERTO ARGENTINO;2020
BENITO QUINQUELA MARTIN;1043
ADOLFO BAQUIANO PAREJAS;1972
ADOLFO IGLESIAS;1854
2 DE ABRIL;246
ALEJANDRO SOLAR;580
PJE JENKINS;897
ALVEAR;975
RIO COLORADO;24
MAIPU;1921
MINERALES;354
AV ASTURIAS;2643
CORMORANES;1673
ARSENIO TUR;1131
CACIQUE YATEL;1971
ALFONSINA STORNI;1578
ABUELA PAREDES;854
ATAHUALPA YUPANQUI;2180
CACHO VASQUEZ;691
ARSENIO TUR;1048
CACIQUE CASIMIRO BIGUA;2874
ALBERDI;2268
ALFRED NOBEL;539
FACON GRANDE;2663
MARIANO MORENO;2412
9 DE JULIO;2273
PJE S N;330
PUERTO ARGENTINO;1209
AMADO NERVO;805
AVELLANEDA;413
PJE AMELUNG;1185
FARO PINGUINO;2927
SARMIENTO;174
MARIANO MORENO;1952
13 DE JULIO;698
ARTURO H ILLIA;782
DESEADO;1440
PJE NOYA;432
TRES LAGOS;532
AV PRES NESTOR C KIRCHNER;2422
TRES LAGOS;1911
SAENZ PENA;2814
ARSENIO TUR;956
ALBERT SABIN;2274
PJE LORENZO WINTER;2943
CMTE LUIS PIEDRABUENA;2330
DESEADO;2018
RVDO PADRE JOSE KOLTUN;2065
TONINA;1709
A SUREDA;1044
JARAMILLO;2196
PUERTO ARGENTINO;1396
DR ANGEL OYOLI;1438
AV ASTURIAS;2704
DR ANGEL OYOLI;2701
PJE JENKINS;455
PICO TRUNCADO;619
BENITO PEREZ GALDOS;1707
LAGO DEL DESIERTO;845
CALLE S N;1624
A SUREDA;735
JULIA DE LOPEZ;2089
ARTURO W FENTON;2075
PJE LORENZO WINTER;654
LAGO ARGENTINO;32
17 DE OCTUBRE;1459
MAGALLANES;827
BENITO TRESGUERRES;1368
A FADUL LAVAQUE;2839
RVDO PADRE JOSE KOLTUN;635
MAGALLANES;1684
KOLEL KAIKE;600
ANTONIO BERNI;2525
GRL SAN MARTIN;640
BENITO TRESGUERRES;2810
BENIGNO LAGO;2532
TEHUELCHE;192
ANGELA BRUNETTI;131
CACIQUE CASIMIRO BIGUA;72
PERITO MORENO;1890
COLONOS;2330
MALVINAS;1134
YUGOSLAVIA;82
CACIQUE IBANEZ RUFINO;2265
ANTONIO MACHADO;2585
BENITO PEREZ GALDOS;598
ANTARTIDA ARGENTINA;2255
PJE S N;745
ALBERTO GINASTERA;741
BENITO PEREZ GALDOS;2017
BAHIA AGUIRRE;1566
RAMIRO RAMOS;682
ANTARTIDA ARGENTINA;1283
CABILDO;485
A SUREDA;438
LOS ANTIGUOS;618
FARO PINGUINO;1583
A C MURIEGA V DE BRUNETTI;2002
ALBERTO WILLIAMS;2868
MINERALES;1803
FORTIN SAN CARLOS;1445
ALBERTO GRILLO;910
ANGELA BRUNETTI;709
BATALLA DE PUERTO ARGENTINO;2823
MANUEL ESTRADA;2919
ALBERTO WILLIAMS;2264
LAGO DEL DESIERTO;33
CRUCERO GRL BELGRANO;2729
ITALIA;2118
PJE S N;34
9 DE JULIO;73
ANTONIO BERUTTI;859
MAIPU;223
BENITO PEREZ GALDOS;1777
RIO TURBIO;2967
MINERALES;505
VAPOR LOIRE;1456
RIO GALLEGOS;320
ADOLFO BAQUIANO PAREJAS;2592
RIO GALLEGOS;2311
ADOLFO IGLESIAS;1963
ANGELA BRUNETTI;366
YUGOSLAVIA;32
CMTE LUIS PIEDRABUENA;2082
VAPOR LOIRE;1992
PUERTO ARGENTINO;1464
BATALLA DE PUERTO ARGENTINO;1843
KOLEL KAIKE;278
BARTOLOME MITRE;972
AMERICA;1482
FACON GRANDE;2878
PJE VIRICAT;893
ORKEKE;804
ALBERTO JUAN BARK;612
ADOLFO IGLESIAS;2197
ANGEL VICENTE PENALOZA;514
ITALIA;2559
FASIOLI;1361
CACHO VASQUEZ;1343
ACONCAGUA;2645
RIO COLORADO;131
AGUSTIN BORGHIALE;1607
CRISTOBAL COLON;586
IGARZABAL;384
ESPANA;446
SGT CABRAL;1925
ANGEL VICENTE PENALOZA;2000
GDOR PARADELO;970
PJE S N;862
2 DE ABRIL;2520
A FADUL LAVAQUE;1075
BATALLA DE PUERTO ARGENTINO;944
IGR PORTELA;2582
LOS FERROVIARIOS;2591
IGR BRIANO;1340
1 DE MAYO;2306
BENITO PEREZ GALDOS;1585
PASEO DE LOS NAVEGANTES;2533
PEATONAL;2544
ANTONIO SOTO;2835
BAHIA BUEN SUCESO;449
ROSA DE WILSON;2226
FARO PINGUINO;487
SGT CABRAL;2687
SARMIENTO;1035
ALVEAR;2705
FACON GRANDE;1506
17 DE OCTUBRE;744
PORTUGAL;1342
PERITO MORENO;2792
BATALLA DE PUERTO ARGENTINO;811
BENITO QUINQUELA MARTIN;1843
BELL GRAHAM;2019
BARTOLOME PEREZ;1078
RIO COLORADO;146
A C MURIEGA V DE BRUNETTI;1183
ALBERTO JUAN BARK;745
ALMAFUERTE;615
VAPOR LOIRE;2101
ARSENIO TUR;1999
13 DE JULIO;138
BELLA VISTA;1881
MALVINAS;670
MANUEL ESTRADA;2339
ANTONIO BERUTTI;2000
MANUEL ESTRADA;2332
FARO PINGUINO;949
PICO TRUNCADO;1913
DESEADO;1148
PJE S N;2447
CORMORANES;2439
KOLEL KAIKE;293
ANTONIO ALVAREZ JONTE;2043
COLONOS;2186
CALLE S N;118
LAGO DEL DESIERTO;2351
LEZCANO MAESTRO;950
CACIQUE YATEL;2711
JULIA DE LOPEZ;1450
PEATONAL;2275
BATALLA DE PUERTO ARGENTINO;1468
ANTONIO BERNI;1948
AMERICA;1575
13 DE JULIO;744
ALMTE BROWN;2585
PICO TRUNCADO;629
ARSENIO TUR;1845
GDOR PARADELO;1958
ANTONIO BERUTTI;682
MARTIN FIERRO;1788
MONS ALEMAN;92
MANUEL ESTRADA;2286
PJE S N;424
ATAHUALPA YUPANQUI;1523
LOS ANTIGUOS;2019
ARSENIO TUR;2215
COMODORO PY;2255
SANTA CRUZ;1120
ARSENIO TUR;2181
RAMIRO RAMOS;2730
PESCADORES;164
FARO PINGUINO;2429
IGR BRIANO;2036
PJE S N;1408
CACIQUE IBANEZ RUFINO;2396
RIO COLORADO;2729
ALBERTO ENCINAS;496
FASIOLI;1673
TELLIER;1974
BERNARDINO RIVADAVIA;2314
25 DE MAYO;1812
RIO GALLEGOS;398
PERITO MORENO;763
PATAGONIA;2459
DR FIORILLO;968
ALBERTO GINASTERA;1527
CABO BUEN TIEMPO;873
DESEADO;1914
MANUEL ESTRADA;2862
CERRO BLANCO;2604
GDOR RAMON LISTA;1656
RVDO PADRE JOSE KOLTUN;756
PATAGONIA;1895
ADOLFO BAQUIANO PAREJAS;2616
ANTARTIDA ARGENTINA;871
19 DE DICIEMBRE;2037
LAGO DEL DESIERTO;2000
CRUCERO GRL BELGRANO;1004
GRL SAN MARTIN;1832
ARIAS;1370
A BUSTAMANTE;1813
FITZ ROY;1119
PJE RVDO PDRE TARCISIO FANTIN;1115
ANGELA BRUNETTI;1091
A RODRIGUEZ;2039
2 DE ABRIL;2288
ALBERTO GRILLO;2021
ANTONIO MACHADO;585
SAENZ PENA;785
ALBERTO WILLIAMS;596
GDOR RAMON LISTA;2718
ARTURO H ILLIA;1123
ANTONIO MACHADO;2964
AV ASTURIAS;2155
AMADO NERVO;1164
PATAGONIA;1364
CALLE S N;2318
13 DE JULIO;311
DR FERNANDEZ;539
9 DE JULIO;560
ALFRED NOBEL;2748
PESCADORES;211
CHALTEN;1467
FACON GRANDE;1267
TONINA;792
PATAGONIA;713
AFRICA;1447
PJE S N;1180
CRISTOBAL COLON;1176
YUGOSLAVIA;280
ITALIA;2553
BELL GRAHAM;2831
PJE AMELUNG;643
GRL SAN MARTIN;1809
DR RENE FAVALORO;174
PJE COCCOZ;1755
BENITO QUINQUELA MARTIN;1909
COLONOS;2569
19 DE DICIEMBRE;2366
TTE ESTEVEZ;2323
BARTOLOME MITRE;2345
PJE VIRICAT;2096
ANTONIO MACHADO;770
CABO BUEN TIEMPO;2364
ALVEAR;1167
BENITO PEREZ GALDOS;440
ALBERT EINSTEIN;233
ALVEAR;1589
AYOHUMA;1494
ABUELA PAREDES;2587
FORTIN SAN CARLOS;1262
MAIPU;971
SGT CABRAL;1742
PJE VIRICAT;2964
RIVADAVIA;2864
A RODRIGUEZ;108
CACIQUE CASIMIRO BIGUA;1667
ROSA DE WILSON;2076
RIO GALLEGOS;370
1 DE MAYO;1583
ALBERTO JUAN BARK;907
ESPANA;1071
ALCORTA;446
PUEYRREDON;458
ANTONIO BALADO;886
TELLIER;1535
AV PRES NESTOR C KIRCHNER;2111
A GARDINER;1435
PJE JENKINS;2028
GDOR GREGORES;786
PJE S N;2828
BONIFACIO CAMPOS;637
JULIO ARGENTINO ROCA;2335
ARSENIO TUR;2185
VAPOR LOIRE;1740
ALMTE BROWN;1579
ALCORTA;397
RAMON SANTOS;2438
AVELLANEDA;2721
LAGO ARGENTINO;1864
FARO PINGUINO;2367
CABO BUEN TIEMPO;1163
ANTONIO ALVAREZ JONTE;1108
PJE S N;834
ALEJANDRO SOLAR;2767
ALFRED NOBEL;1905
EL CALAFATE;111
ALBERTO WILLIAMS;2051
DR RENE FAVALORO;1601
ALFEREZ A SANCHEZ;678
RVDO PADRE JOSE KOLTUN;1466
PJE COCCOZ;2929
EL CALAFATE;1249
BENITO TRESGUERRES;1192
ANTARTIDA ARGENTINA;2788
PUEYRREDON;96
BENITO QUINQUELA MARTIN;349
ALMAFUERTE;2318
SARMIENTO;221
PATAGONIA;2273
MAGALLANES;2327
AV ASTURIAS;497
CABO PRIM VICTOR GUERRERO;2549
ALEJANDRO A BONINI;234
CRISTOBAL COLON;1917
ALBERTO WILLIAMS;1347
20 DE JUNIO;2132
ANTARTIDA ARGENTINA;1704
MONS ALEMAN;2885
SAN JULIAN;1237
PESCADORES;1939
BARTOLOME MITRE;1779
AYOHUMA;2659
ANTARTIDA ARGENTINA;2845
PATAGONIA;1125
BAHIA AGUIRRE;923
ANTONIO BERUTTI;1385
17 DE OCTUBRE;899
ANTONIO MANZONI;2712
CABO BUEN TIEMPO;1644
SAENZ PENA;1192
VAPOR LOIRE;2787
JULIA DE LOPEZ;2718
ANGEL BANCIELLA;1996
PESCADORES;2938
TONINA;743
ARTURO W FENTON;2541
CACHO VASQUEZ;2061
13 DE JULIO;1284
ABUELA PAREDES;303
JOSE BACH;2830
BARTOLOME PEREZ;206
CORMORANES;2304
ALMAFUERTE;1413
BENITO PEREZ GALDOS;1234
ANGEL VICENTE PENALOZA;1604
LOS FERROVIARIOS;174
TRES LAGOS;2728
MARTIN FIERRO;1454
ALFEREZ A SANCHEZ;644
A SUREDA;2783
ALBERT EINSTEIN;1632
FASIOLI;111
AMADO NERVO;2003
BUENOS AIRES;1497
FITZ ROY;1731
ALMTE BROWN;2860
GDOR RAMON LISTA;513
PASEO DE LOS NAVEGANTES;1775
ARSENIO TUR;1955
MARIANO MORENO;1563
CRUCERO GRL BELGRANO;914
AV PRES NESTOR C KIRCHNER;2034
FITZ ROY;1632
CRISTOBAL COLON;2819
DR RENE FAVALORO;711
FORTIN SAN CARLOS;2803
ANTONIO MACHADO;835
CALLE S N;2395
CACIQUE CAPIPE;2741
ALBERDI;2987
ALBERTO ENCINAS;1370
CACIQUE YATEL;2946
PJE S N;1663
AV PRES NESTOR C KIRCHNER;107
LOS FERROVIARIOS;1752
CACIQUE POCON;2860
GDOR GREGORES;1018
PJE JENKINS;1510
GDOR RAMON LISTA;1049
BAHIA BUEN SUCESO;658
ALEJANDRO A BONINI;1433
AYOHUMA;2996
EUFRASIA ARIAS;1391
CABILDO;1796
ALBERTO ENCINAS;816
ANTONIO SOTO;780
ANGEL BANCIELLA;1216
TEHUELCHE;372
PJE S N;2856
COLONOS;2039
ALFONSINA STORNI;208
JOSE BACH;884
FASIOLI;1186
PJE S N;271
FARO PINGUINO;1551
A BUSTAMANTE;1058
ALEJANDRO A BONINI;1654
MINERALES;1446
17 DE OCTUBRE;731
A RODRIGUEZ;652
ORKEKE;1184
ESPANA;1308
PICO TRUNCADO;1840
RAMON SANTOS;1387
COMODORO PY;1873
PJE COCCOZ;280
MAIPU;11
DR FERNANDEZ;2229
MARIANO MORENO;301
RIO COLORADO;2966
PESCADORES;1498
BONIFACIO CAMPOS;337
ALEJANDRO SOLAR;2285
BONIFACIO CAMPOS;1813
IGR BRIANO;2521
FITZ ROY;1344
ALEJANDRO SOLAR;2762
ALBERTO WILLIAMS;4
JULIA DE LOPEZ;1642
A FADUL LAVAQUE;2167
MALVINAS;2756
1 DE MAYO;768
PJE NOYA;462
RAMON SANTOS;1195
MARTIN FIERRO;2765
PUEYRREDON;2647
RIO TURBIO;299
SAN JULIAN;2382
ARTURO H ILLIA;1712
BELL GRAHAM;2842
ALBERTO WILLIAMS;662
BRASIL;2087
A BUSTAMANTE;1606
BARTOLOME PEREZ;580
IGARZABAL;363
FITZ ROY;2157
BARTOLOME MITRE;1370
LOS FERROVIARIOS;1126
ARISTIZABAL;968
PAMPA ALTA;922
ADOLFO BAQUIANO PAREJAS;646
BAHIA AGUIRRE;574
PJE S N;214
ITALIA;616
CACIQUE IBANEZ RUFINO;714
GRL SAN MARTIN;2379
IGARZABAL;447
PESCADORES;1086
CABO PRIM VICTOR GUERRERO;1313
PJE S N;2448
AMERICA;2472
ANGELA BRUNETTI;2192
ADOLFO BAQUIANO PAREJAS;257
A SUREDA;2291
PJE NOYA;1372
CHALTEN;1621
BUENOS AIRES;2900
RECONQUISTA;1119
IGR BRIANO;893
LAGO ARGENTINO;1826
MARTIN FIERRO;1226
TTE ESTEVEZ;627
CHALTEN;1492
LAS HERAS;1474
ACONCAGUA;1930
ALBERTO GRILLO;1039
SGT CABRAL;359
TONINA;2820
PATAGONIA;1302
VENEZUELA;2215
ALBERTO WILLIAMS;851
BUENOS AIRES;2680
CRUZ DEL SUR;1738
JULIO ARGENTINO ROCA;2449
ALBERTO GRILLO;546
CACIQUE CAPIPE;714
BUENOS AIRES;77
MAGALLANES;667
ACONCAGUA;2601
RAMIRO RAMOS;1092
AV ASTURIAS;944
1 DE MAYO;2047
GDOR RAMON LISTA;2557
ALMAFUERTE;963
GDOR RAMON LISTA;1826
TEHUELCHE;1837
ARISTIZABAL;159
AMADO NERVO;950
JOSE BACH;2471
2 DE ABRIL;1070
PJE VIRICAT;1942
ANTONIO SOTO;2004
AMEGHINO;602
TELLIER;1367
PJE S N;110
CALLE S N;1931
ALFONSO BRIGANDO;1731
DR FIORILLO;1241
BENITO TRESGUERRES;617
COMODORO PY;924
SARMIENTO;145
JULIA DE LOPEZ;2920
ANTONIO BERUTTI;905
ARISTIZABAL;1630
FITZ ROY;2001
A GARDINER;1863
13 DE JULIO;2060
TEHUELCHE;1411
ALBERTO JUAN BARK;1691
CRUZ DEL SUR;2047
CRISTOBAL COLON;641
A FADUL LAVAQUE;290
ANTARTIDA ARGENTINA;1856
ALBERTO ENCINAS;500
AV ASTURIAS;2025
2 DE ABRIL;389
PJE S N;1864
DR ANGEL OYOLI;1702
A C MURIEGA V DE BRUNETTI;2847
19 DE DICIEMBRE;1451
TTE ESTEVEZ;1855
2 DE ABRIL;1376
MARTIN FIERRO;1938
FASIOLI;432
BENIGNO LAGO;2780
MAIPU;884
PJE S N;382
ALCORTA;921
A SUREDA;1994
DR ANGEL OYOLI;1639
CACIQUE YATEL;666
EUFRASIA ARIAS;560
AGUSTIN BORGHIALE;2998
CERRO BLANCO;586
GDOR RAMON LISTA;1088
9 DE JULIO;2034
ANGEL CARNOTA;622
AFRICA;1537
AVELLANEDA;2143
EUFRASIA ARIAS;938
ANTONIO MANZONI;865
BENITO TRESGUERRES;2382
AV PRES NESTOR C KIRCHNER;2543
PJE NOYA;1376
BRASIL;2854
RIVADAVIA;2048
EUFRASIA ARIAS;775
ALCORTA;155
DESEADO;1370
ANTARTIDA ARGENTINA;219
ALVEAR;993
ARIAS;2092
AV PRES NESTOR C KIRCHNER;2468
PATAGONIA;2673
A C MURIEGA V DE BRUNETTI;2488
AMADO NERVO;1051
FORTIN SAN CARLOS;2115
AVELLANEDA;1145
PICO TRUNCADO;1757
PJE DUJON;1507
FARO PINGUINO;774
TEHUELCHE;2809
FASIOLI;1552
PORTUGAL;1038
ALMTE BROWN;631
CACIQUE POCON;245
A GARDINER;734
BENITO PEREZ GALDOS;1641
ANTONIO MANZONI;2684
PJE JENKINS;548
KOLEL KAIKE;1710
LAGO DEL DESIERTO;1971
RIO TURBIO;939
AVELLANEDA;732
PJE DUJON;502
PUEYRREDON;1860
COMODORO PY;33
GDOR PARADELO;1541
ALVEAR;514
25 DE MAYO;2447
CACIQUE IBANEZ RUFINO;2128
DR ANGEL OYOLI;2378
PREFECTURA NAVAL ARGENTINA;2097
PUERTO ARGENTINO;743
ALBERTO ENCINAS;506
PJE S N;1225
BELLA VISTA;1531
PJE VIRICAT;988
DON BOSCO;2044
RIVADAVIA;2677
LAGO DEL DESIERTO;2632
ALBERTO GINASTERA;456
CACIQUE CAPIPE;467
ALMAFUERTE;1502
LOS ANTIGUOS;144
CRUCERO GRL BELGRANO;2604
BUENOS AIRES;2816
SANTA CRUZ;1314
CACHO VASQUEZ;659
20 DE JUNIO;1572
AVELLANEDA;1707
A C MURIEGA V DE BRUNETTI;184
PESCADORES;1209
KOLEL KAIKE;1131
TEHUELCHE;2628
ADOLFO IGLESIAS;1322
ADOLFO BAQUIANO PAREJAS;2427
ORKEKE;1322
PATAGONIA;2029
PJE LORENZO WINTER;2766
GDOR PARADELO;1211
PUERTO ARGENTINO;1952
ALBERT EINSTEIN;2824
2 DE ABRIL;1989
PJE JENKINS;1305
EL CALAFATE;1211
DON BOSCO;2689
DESEADO;2994
PAMPA ALTA;1870
TRES LAGOS;2899
PERITO MORENO;1522
ALEJANDRO SOLAR;1117
EUFRASIA ARIAS;2163
PREFECTURA NAVAL ARGENTINA;1558
BENITO TRESGUERRES;2246
ALVEAR;2906
PICO TRUNCADO;1535
SAENZ PENA;2338
PJE S N;991
RAMIRO RAMOS;2833
JULIA DE LOPEZ;2831
LAGO DEL DESIERTO;2279
CORMORANES;2813
JULIO ARGENTINO ROCA;411
MARIANO MORENO;2715
ROSA DE WILSON;1059
ALEJANDRO SOLAR;764
EL CALAFATE;1415
CACIQUE CASIMIRO BIGUA;2821
BAHIA BUEN SUCESO;2434
ARTURO W FENTON;1451
ANTONIO MANZONI;1990
BAHIA BUEN SUCESO;912
DESEADO;95
SANTA CRUZ;2246
MAGALLANES;722
AV PRES NESTOR C KIRCHNER;2521
A SUREDA;1220
ANGEL VICENTE PENALOZA;1751
ANTONIO MANZONI;2562
PEATONAL;839
AVELLANEDA;841
ALBERTO ENCINAS;723
DR AMERICO TOSELLO;2639
EUFRASIA ARIAS;2029
A C MURIEGA V DE BRUNETTI;2707
ANTONIO ALVAREZ JONTE;1277
CRUCERO GRL BELGRANO;1867
RUTA NAC N 281;491
FARO PINGUINO;1037
ANGEL CARNOTA;1333
BERNARDINO RIVADAVIA;1379
FITZ ROY;1117
CABO PRIM VICTOR GUERRERO;2575
ALBERT SABIN;750
ANTONIO RIVERO;1855
ALBERTO WILLIAMS;799
TELLIER;1628
A SUREDA;970
MAIPU;42
VAPOR LOIRE;2492
GDOR GREGORES;1520
FARO PINGUINO;2235
IGR BRIANO;63
BENITO QUINQUELA MARTIN;851
MAGALLANES;766
DR ANGEL OYOLI;655
ALBERTO WILLIAMS;922
ADOLFO IGLESIAS;2665
ALBERDI;606
AYOHUMA;2986
KOLEL KAIKE;339
TTE ESTEVEZ;21
AYOHUMA;1956
CACIQUE YATEL;2234
PICO TRUNCADO;1210
PJE JENKINS;666
CABILDO;2964
CABILDO;1101
SANTA CRUZ;398
CACHO VASQUEZ;1114
MONS ALEMAN;1341
ANTONIO RIVERO;1748
ANTONIO BERNI;2420
ARIAS;1482
RVDO PADRE JOSE KOLTUN;2345
GDOR PARADELO;353
ANTONIO BALADO;2037
ALEJANDRO SOLAR;2085
ALEJANDRO A BONINI;2066
A BUSTAMANTE;1660
ADOLFO IGLESIAS;512
CORMORANES;2607
PJE DUJON;1174
ALBERT SABIN;2698
FARO PINGUINO;2644
ANTONIO SOTO;1188
FACON GRANDE;1577
CERRO BLANCO;357
AYOHUMA;2021
PJE S N;246
MARIANO MORENO;2501
ALBERT EINSTEIN;672
BARTOLOME PEREZ;180
ADOLFO IGLESIAS;1704
KOLEL KAIKE;114
ANGELA BRUNETTI;1989
MANUEL ESTRADA;2156
PICO TRUNCADO;1263
20 DE JUNIO;2472
ALFONSO BRIGANDO;2427
ARTURO H ILLIA;84
TTE ESTEVEZ;24
PAMPA ALTA;118
DR FERNANDEZ;2504
ALBERTO ENCINAS;492
BATALLA DE PUERTO ARGENTINO;2823
TTE ESTEVEZ;2009
GRL SAN MARTIN;278
25 DE MAYO;1026
ALBERT SABIN;694
ALBERTO JUAN BARK;1696
ARSENIO TUR;866
19 DE DICIEMBRE;622
SANTA CRUZ;1228
PJE S N;1838
MARTIN FIERRO;2237
CACIQUE YATEL;2733
ADOLFO BAQUIANO PAREJAS;1482
ARIAS;2618
AV ASTURIAS;1908
ALBERT EINSTEIN;145
BRASIL;1128
ABUELA PAREDES;2422
FASIOLI;781
ANTONIO SOTO;959
LEZCANO MAESTRO;1878
ADOLFO IGLESIAS;2026
ANGELA BRUNETTI;2400
PJE S N;623
ALMTE BROWN;2189
19 DE DICIEMBRE;1198
A FADUL LAVAQUE;1318
CACIQUE IBANEZ RUFINO;2100
TONINA;269
TEHUELCHE;973
PJE DUJON;2338
CALLE S N;1048
A BUSTAMANTE;2833
FITZ ROY;1254
JARAMILLO;873
ITALIA;1483
CHALTEN;1341
PUEYRREDON;2872
TTE ESTEVEZ;1163
VENEZUELA;2851
LAS HERAS;2094
ALCORTA;1439
RECONQUISTA;639
CACHO VASQUEZ;2876
ARIAS;852
ARTURO H ILLIA;462
IGR PORTELA;750
GRL SAN MARTIN;1662
ATAHUALPA YUPANQUI;2913
GDOR GREGORES;2826
PJE VIRICAT;1599
RUTA NAC N 281;2768
ALBERTO WILLIAMS;2344
BELLA VISTA;1933
A BUSTAMANTE;1326
PESCADORES;244
ALFEREZ A SANCHEZ;157
GDOR GREGORES;1331
20 DE JUNIO;322
ALMAFUERTE;2470
AYOHUMA;2504
RIO COLORADO;28
DR AMERICO TOSELLO;1057
BELL GRAHAM;1624
DR FIORILLO;1967
ANGEL BANCIELLA;2187
PEATONAL;2692
PATAGONIA;2018
13 DE JULIO;2349
RUTA NAC N 281;2449
ANGEL BANCIELLA;252
ABUELA PAREDES;2995
KOLEL KAIKE;14
17 DE OCTUBRE;2093
RAMON SANTOS;2822
ACONCAGUA;2995
MARIANO MORENO;2650
ALBERTO ENCINAS;2431
ANTARTIDA ARGENTINA;2893
AV PRES NESTOR C KIRCHNER;1955
ALVEAR;1449
ABUELA PAREDES;2613
ALBERTO JUAN BARK;850
AMADO NERVO;1371
CABO BUEN TIEMPO;492
ROSA DE WILSON;44
PESCADORES;1975
COLONOS;2723
PJE NOYA;1060
A C MURIEGA V DE BRUNETTI;951
ESPANA;488
ALFEREZ A SANCHEZ;1940
ALEJANDRO SOLAR;488
JOSE BACH;268
ANTONIO BALADO;1853
ALEJANDRO A BONINI;2581
19 DE DICIEMBRE;2557
BENITO PEREZ GALDOS;1450
SAN JULIAN;1529
AV PRES NESTOR C KIRCHNER;2232
BATALLA DE PUERTO ARGENTINO;1816
PANAMA;1092
ALBERTO GINASTERA;396
AMADO NERVO;337
DR AMERICO TOSELLO;1152
A FADUL LAVAQUE;1521
RUTA NAC N 281;1489
A BUSTAMANTE;2217
CABO BUEN TIEMPO;1048
A BUSTAMANTE;2949
MANUEL ESTRADA;782
CACIQUE IBANEZ RUFINO;803
CACIQUE YATEL;366
PEATONAL;2538
CABILDO;1777
ESPANA;2217
A RODRIGUEZ;1199
PJE JENKINS;774
CHALTEN;1484
ALFEREZ A SANCHEZ;85
ANTONIO MANZONI;2209
BELL GRAHAM;1107
VAPOR LOIRE;1121
COLONOS;1680
BAHIA BUEN SUCESO;85
RAMIRO RAMOS;1777
ITALIA;651
ANTONIO BALADO;2049
AFRICA;1374
YUGOSLAVIA;1267
ALBERT EINSTEIN;1075
AMADO NERVO;2241
PJE S N;111
PJE LORENZO WINTER;1961
13 DE JULIO;679
RIO GALLEGOS;1353
BAHIA BUEN SUCESO;337
ALFRED NOBEL;2776
JOSE BACH;55
